Date,Clicks,Impressions,CTR,Position
2025-09-24,7,533,1.31%,41.6
2025-09-23,2,524,0.38%,43.7
2025-09-22,5,497,1.01%,41.61
2025-09-21,1,505,0.2%,47.82
2025-09-20,1,424,0.24%,44.99
2025-09-19,1,471,0.21%,43.1
2025-09-18,1,331,0.3%,33.77
2025-09-17,6,368,1.63%,38.96
2025-09-16,6,374,1.6%,36.25
2025-09-15,7,528,1.33%,40.06
2025-09-14,1,365,0.27%,41.66
2025-09-13,0,283,0%,36.95
2025-09-12,5,564,0.89%,49.05
2025-09-11,3,855,0.35%,52.07
2025-09-10,4,875,0.46%,48.62
2025-09-09,3,1077,0.28%,54.03
2025-09-08,5,1112,0.45%,55.03
2025-09-07,2,1001,0.2%,56.65
2025-09-06,1,1003,0.1%,55.83
2025-09-05,0,1141,0%,53.82
2025-09-04,1,1032,0.1%,54.71
2025-09-03,7,1156,0.61%,53.52
2025-09-02,2,1198,0.17%,53.28
2025-09-01,2,1088,0.18%,50.29
2025-08-31,2,1017,0.2%,52.34
2025-08-30,1,865,0.12%,52.21
2025-08-29,1,868,0.12%,51.2
2025-08-28,3,972,0.31%,49.51
2025-08-27,1,1027,0.1%,51.82
2025-08-26,0,715,0%,51.39
2025-08-25,1,737,0.14%,53.63
2025-08-24,0,777,0%,52.79
2025-08-23,1,612,0.16%,54.33
2025-08-22,0,744,0%,51.49
2025-08-21,7,820,0.85%,49.46
2025-08-20,1,766,0.13%,48.68
2025-08-19,0,656,0%,49.14
2025-08-18,4,772,0.52%,49.13
2025-08-17,1,663,0.15%,50.86
2025-08-16,1,639,0.16%,49.95
2025-08-15,3,670,0.45%,48.11
2025-08-14,2,663,0.3%,48.79
2025-08-13,1,627,0.16%,47.46
2025-08-12,1,675,0.15%,53.12
2025-08-11,2,600,0.33%,48.85
2025-08-10,1,505,0.2%,47.43
2025-08-09,1,487,0.21%,50.48
2025-08-08,0,499,0%,48.82
2025-08-07,4,577,0.69%,42.61
2025-08-06,3,536,0.56%,44.27
2025-08-05,3,517,0.58%,47.01
2025-08-04,1,553,0.18%,47.96
2025-08-03,2,434,0.46%,48.43
2025-08-02,0,379,0%,44.97
2025-08-01,1,524,0.19%,44.31
2025-07-31,1,432,0.23%,42.96
2025-07-30,3,488,0.61%,42.66
2025-07-29,3,442,0.68%,43.72
2025-07-28,1,434,0.23%,46.87
2025-07-27,0,373,0%,46.5
2025-07-26,3,388,0.77%,47.11
2025-07-25,3,365,0.82%,46.47
2025-07-24,3,389,0.77%,45.12
2025-07-23,2,402,0.5%,46.89
2025-07-22,3,371,0.81%,42.54
2025-07-21,2,324,0.62%,35.64
2025-07-20,1,275,0.36%,39.76
2025-07-19,1,239,0.42%,42.72
2025-07-18,1,288,0.35%,39.8
2025-07-17,3,275,1.09%,36.58
2025-07-16,4,305,1.31%,36.38
2025-07-15,4,313,1.28%,35.05
2025-07-14,1,263,0.38%,27.47
2025-07-13,0,180,0%,37.64
2025-07-12,0,218,0%,36.56
2025-07-11,1,256,0.39%,34.26
2025-07-10,4,254,1.57%,31.19
2025-07-09,0,227,0%,39.19
2025-07-08,2,270,0.74%,35.26
2025-07-07,2,299,0.67%,37.54
2025-07-06,0,213,0%,39.46
2025-07-05,0,193,0%,40.73
2025-07-04,4,227,1.76%,39.07
2025-07-03,3,241,1.24%,36.78
2025-07-02,3,257,1.17%,37.63
2025-07-01,2,229,0.87%,39.13
2025-06-30,2,239,0.84%,36.84
2025-06-29,1,206,0.49%,34.09
2025-06-28,0,180,0%,39.09
2025-06-27,2,232,0.86%,34.44
2025-06-26,3,224,1.34%,33.41
2025-06-25,3,238,1.26%,32.95